Unnamed: 0,image_link,group_id,entity_name,entity_value,tags,text,extracted_value
20,https://m.media-amazon.com/images/I/31EvJszFVfL.jpg,731432,item_weight,200 gram,31EvJszFVfL,"Glucon-0 
9.4in 
23cm 
",
70,https://m.media-amazon.com/images/I/413FQB0ZMLL.jpg,308856,item_weight,2 kilogram,413FQB0ZMLL,"2kg  
REE  
CANINE  
CREEK  
""LIFE PRESERVATION FORMULA""  
PROTEIN ""SINGLE GRAIN"" 
%0 ""SINGLE GRAIN"" 
""ALL BREED ALLAGE FORMULA""  
""BREEDER PACK""  
",2 kg
71,https://m.media-amazon.com/images/I/41EjbFu-+yL.jpg,308856,item_weight,10 kilogram,41EjbFu-+yL,"CREEK 
Club 
13891 
lu 
USA 
ATED 
",
46,https://m.media-amazon.com/images/I/41wvffSxB4L.jpg,299791,item_weight,15.5 gram,41wvffSxB4L," 50cm 
EST  
ANDS  
3.5cm  
",
26,https://m.media-amazon.com/images/I/51WsuKKAVrL.jpg,866516,item_weight,158.0 gram,51WsuKKAVrL,"""Product Size"" 15926CM
Qty./Ctn. 96PCS
""Carton Size"" 52x42x40CM
Material ""Polyester material""
Craftsmanship Manual
Colour BrownYellow
GreyOrange 
""Product Weight"" 158g
",158 g
88,https://m.media-amazon.com/images/I/51b9JEHOriL.jpg,630869,item_weight,6.5 gram,51b9JEHOriL,"Length:19cm+5cm
",
35,https://m.media-amazon.com/images/I/51bQPPtMqYL.jpg,881883,item_weight,26.0 gram,51bQPPtMqYL,"""Placethe curtain between the""
""counterweight and the magnet""
4cm/1.6in
Weight:26g
Load-bearing
metalblock
",26 g
85,https://m.media-amazon.com/images/I/51xfRlxWIXL.jpg,639090,item_weight,100.0 gram,51xfRlxWIXL,"Energie ""520kJ124 kcal)""
Fett 5,0g
""davon gesattigte Fettsauren"" 3,3g
Kohlenhydrate 14,0g
EiweiB 2,7g
zaes 0,10g
",5.0 t
63,https://m.media-amazon.com/images/I/61-oj+N+BxL.jpg,459516,item_volume,30.0 millilitre,61-oj+N+BxL,"""Tendis forestenaa"" ""Dendrobium &Mullein"" ""Dendrobium &Mullein""  
""Extract Herbal Drop""  ""Extract Herbal Drop""  
STORAGE ""Powerful Lung Support"" Cleanse.  
""Se noloy pace way""  Respiratory  
""frmsunigtKeep otof""    
""eact ofcnidten""    
Manufac.uier    
""Shantou Cres-coder""    
""Premium Prooucts""    
""E-comerce CoLid""    
Adthess    
Rocm5.Buling.Buiding    
""Rced Sharicu.""    
""Seff ie ers""    
Net.30ml    
   ""ict Herbal Drop"" 
   ""rful Lung Support"" 
   ase 
Enhance C Balance iratory 
""breathing function"" C ""mucus levels""  
 MAX Maximum  
""Cleans &"" MAX potency  
   Clpanways 
30ml/1fl.oz 30ml/1fl.oz 30ml/1fl.oz  
   ""VEGANGMO FREEISO"" 
    
",30 ml
3,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,612mrlqiI4L,"   1515151115 1515151115 1515151115 1515151115 bw  Qty./Serving   600  6600 ""WarningConsult your physician before using this product if you are pregnantnursing.taking any medication or having""  
                 
COMPOSITION ngredient ""PHOSPHOcomplexSilybin (Silybum marianum)"" ""Dandelion (Taraxacum officinale) leaf extract- 101"" ""Kutki (Picrorhiza kurroa rhizome extract-0.5% Bitters"" ""Kasani Cichorium endivia seed extract-1% Bitters"" ""Bhui amla (Phyllanthus amarus) WP extract-0.5% Bitters"" ""Amla (Phyllanthus emblica) fruit extract-10%Tannins"" ""Piper nigrum fruit extract-95% Piperine"" ECHEDN Nutrients Enrey Carbohydrate (sugging) Protein ""WarningConsult your physician before using this product if you are pregnantnursing.taking any medication or having"" ""a medical condition."" 
",600 g
87,https://m.media-amazon.com/images/I/612xIhPMHqL.jpg,630869,item_weight,3.2 gram,612xIhPMHqL,"0.8MM  
""0.12 INCH""  
3MM  
""1.60 INCH""  
(40.7MM)  
""Net Weight:3.2G""  
""Forever In My Hean""  
""925 SterlingSilver"" Customizable ""6.3+2 INCH Extend Chain""
 (160mm+50MM) 
""Manual measurement, the size may be slightly different from the physical."" ""Manual measurement, the size may be slightly different from the physical."" ""Manual measurement, the size may be slightly different from the physical.""
",3.2 G
53,https://m.media-amazon.com/images/I/613BeFNwHcL.jpg,523149,item_weight,7.0 gram,613BeFNwHcL,,
43,https://m.media-amazon.com/images/I/613G8GOyLSL.jpg,752266,wattage,150.0 watt,613G8GOyLSL,"150W IP65   
305mm/12.00in   32mm/1.25in 
Ground Wall  Ceiling 
",150 W
29,https://m.media-amazon.com/images/I/613v+2W4UwL.jpg,524635,item_weight,18.55 gram,613v+2W4UwL,"Carvomin R
Verdauungstropfen 
""18,55 g/20 ml"" 
""Flussigkeit zum Einnehmen"" 
Wirkstoff: 
""Auszug aus einer Mischung"" 
""von Angelikawurzeln,"" 
""Benediktenkraut und"" 
Pfefferminzblattern 
KLONGE 
PHARMA 
",18.55 g
4,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,617Tl40LOXL,"HIGHSTRENGTH HIGHSTRENGTH  
PSYLLIOM PSYLLIOM PSYLLIOM PSYLLIOM
HUSK HUSK  
1400 MG ""PLANT SEEDS"" ""PLANT SEEDS""
FOOD 365 VEGAN 
SUPPLEMENT SUPPLEMENT 365 CAPSULES
",1400 MG
